x,Gene
707,AHSA2
708,AHSP
709,AIDA
710,AIF1
711,AIM1
712,AIMP1
713,AIMP2
714,AIP
715,AJ003147.8
716,AJ006995.3
717,AJ011932.1
718,AJ239322.1
719,AK2
720,AK3
721,AK4
722,AK5
723,AKAP1
724,AKAP11
725,AKAP12
726,AKAP13
727,AKAP17A
728,AKAP8L
729,AKAP9
730,AKIP1
731,AKIRIN1
732,AKIRIN2
733,AKR1A1
734,AKR1B1
735,AKR1C1
736,AKR1E2
737,AKR7A2
738,AKR7A3
739,AKT3
740,AKTIP
741,AL021546.6
742,AL022344.7
743,AL022578.1
744,AL023806.1
745,AL035610.2
746,AL049794.1
747,AL109659.1
748,AL121578.2
749,AL122127.25
750,AL132709.8
751,AL133249.1
752,AL157359.3
753,AL157359.4
754,AL158147.2
755,AL158801.1
756,AL161668.5
757,AL163953.2
758,AL356289.1
759,AL356585.2
760,AL358852.1
761,AL365181.2
762,AL513523.2
763,AL589842.1
764,AL928742.12
765,AL928768.3
766,ALB
767,ALCAM
768,ALDH18A1
769,ALDH1A1
770,ALDH1A3
771,ALDH1B1
772,ALDH3B2
773,ALDH6A1
774,ALDH7A1
775,ALDH9A1
776,ALDOA
777,ALG10
778,ALG10B
779,ALG11
780,ALG12
781,ALG13
782,ALG14
783,ALG1L
784,ALG2
785,ALG5
786,ALG8
787,ALKBH4
788,ALKBH5
789,ALKBH7
790,ALMS1
791,ALOX12B
792,ALOX15B
793,ALOX5AP
794,ALPPL2
795,ALX4
796,AMACR
797,AMD1
798,AMELX
799,AMELY
800,AMH
801,AMICA1
802,AMIGO1
803,AMIGO3
804,AMMECR1L
805,AMN1
806,AMOTL1
807,AMTN
808,AMY2A
809,AMZ2
810,ANAPC15
811,ANAPC16
812,ANAPC7
813,ANG
814,ANGPT2
815,ANGPTL2
816,ANGPTL4
817,ANGPTL6
818,ANK3
819,ANKH
820,ANKHD1
821,ANKHD1-EIF4EBP3
822,ANKIB1
823,ANKRA2
824,ANKRD1
825,ANKRD10
826,ANKRD12
827,ANKRD13A
828,ANKRD13C
829,ANKRD17
830,ANKRD18A
831,ANKRD18B
832,ANKRD20A3
833,ANKRD26
834,ANKRD28
835,ANKRD29
836,ANKRD30A
837,ANKRD30B
838,ANKRD30BL
839,ANKRD34B
840,ANKRD36
841,ANKRD36B
842,ANKRD36C
843,ANKRD37
844,ANKRD40
845,ANKRD49
846,ANKRD50
847,ANKRD60
848,ANKRD63
849,ANKRD65
850,ANKRD66
851,ANO6
852,ANO7
853,ANP32A
854,ANP32B
855,ANP32D
856,ANP32E
857,ANPEP
858,ANTXR1
859,ANTXR2
860,ANXA1
861,ANXA2
862,ANXA2R
863,ANXA3
864,ANXA4
865,ANXA5
866,ANXA7
867,ANXA8L1
868,AOC1
869,AOC3
870,AP000146.2
871,AP000230.1
872,AP000233.2
873,AP000233.3
874,AP000235.3
875,AP000253.1
876,AP000255.6
877,AP000265.1
878,AP000275.65
879,AP000282.3
880,AP000295.10
881,AP000295.9
882,AP000304.12
883,AP000343.2
884,AP000344.3
885,AP000350.10
886,AP000350.5
887,AP000402.3
888,AP000431.1
889,AP000431.2
890,AP000432.2
891,AP000439.1
892,AP000439.2
893,AP000439.3
894,AP000442.4
895,AP000459.7
896,AP000462.2
897,AP000462.3
898,AP000472.2
899,AP000473.5
900,AP000473.6
901,AP000473.8
902,AP000474.1
903,AP000477.2
904,AP000477.3
905,AP000479.1
906,AP000569.9
907,AP000654.4
908,AP000688.15
909,AP000688.29
910,AP000696.2
911,AP000704.5
912,AP000721.4
913,AP000769.7
914,AP000797.4
915,AP000855.4
916,AP000866.1
917,AP000946.2
918,AP000959.2
919,AP000997.1
920,AP000997.2
921,AP000998.2
922,AP001042.1
923,AP001043.1
924,AP001046.5
925,AP001046.6
926,AP001058.3
927,AP001063.1
928,AP001065.15
929,AP001171.1
930,AP001172.3
